angleX,angleY,angleZ,Time,
11,-46,24,23:23:14,
7,-45,34,23:23:14,
14,-36,34,23:23:14,
11,-29,41,23:23:14,
6,-21,47,23:23:14,
7,-11,47,23:23:14,
9,-1,44,23:23:14,
1,5,45,23:23:15,
-3,15,43,23:23:15,
-7,24,37,23:23:15,
-10,32,31,23:23:15,
-6,41,29,23:23:15,
-8,42,19,23:23:15,
-12,41,8,23:23:16,
-23,40,7,23:23:16,
-14,42,12,23:23:17,
-7,41,20,23:23:17,
0,38,32,23:23:17,
9,29,31,23:23:17,
14,18,35,23:23:17,
19,9,35,23:23:17,
17,4,47,23:23:17,
26,-1,50,23:23:17,
25,-8,42,23:23:17,
35,-5,40,23:23:17,
39,-10,30,23:23:18,
46,-12,23,23:23:18,
42,-15,12,23:23:18,
46,-24,19,23:23:18,
44,-10,11,23:23:18,
50,-14,3,23:23:18,
45,-16,-6,23:23:20,
34,-21,-6,23:23:37,
42,-16,1,23:23:37,
40,-24,-7,23:23:37,
38,-31,0,23:23:38,
30,-38,2,23:23:38,
20,-43,2,23:23:38,
11,-49,1,23:23:38,
6,-49,-8,23:23:39,
0,-45,-17,23:23:39,
0,-48,-7,23:23:44,
6,-46,1,23:23:45,
8,-45,11,23:23:49,
13,-41,23,23:23:49,
21,-46,36,23:23:49,
27,-44,24,23:23:49,
19,-45,12,23:23:49,
9,-43,8,23:23:49,
13,-40,18,23:23:49,
13,-45,27,23:23:49,
21,-54,47,23:23:50,
19,-49,36,23:23:50,
14,-37,26,23:23:50,
4,-36,23,23:23:50,
18,-37,26,23:23:50,
17,-35,37,23:23:50,
14,-26,41,23:23:51,
18,-16,45,23:23:51,
20,-23,37,23:23:51,
29,-26,30,23:23:54,
27,-26,40,23:23:55,
22,-32,29,23:23:55,
12,-32,30,23:23:55,
10,-22,32,23:23:55,
17,-26,45,23:23:55,
14,-24,34,23:23:55,
23,-20,32,23:23:56,
27,-16,49,23:23:56,
23,-13,33,23:23:56,
24,-22,40,23:23:56,
16,-24,34,23:23:56,
24,-20,39,23:23:56,
18,-12,40,23:23:59,
18,-23,40,23:23:59,
22,-14,42,23:23:59,
23,-22,34,23:24:00,
25,-26,43,23:24:04,
21,-30,29,23:24:04,
20,-28,40,23:24:04,
20,-26,28,23:24:05,
21,-28,38,23:24:05,
16,-27,29,23:24:05,
22,-31,36,23:24:05,
15,-34,46,23:24:05,
14,-44,44,23:24:05,
15,-36,33,23:24:05,
7,-39,25,23:24:05,
