angleX,angleY,angleZ,Time,
14,-49,9,17:18:01,
23,-50,15,17:18:01,
33,-54,22,17:18:02,
35,-47,32,17:18:02,
31,-37,40,17:18:02,
28,-31,48,17:18:02,
31,-21,50,17:18:02,
28,-9,42,17:18:02,
26,-3,31,17:18:02,
17,-1,26,17:18:02,
5,2,25,17:18:02,
-4,9,26,17:18:02,
-4,14,15,17:18:02,
-10,26,16,17:18:02,
-16,28,8,17:18:02,
-5,37,6,17:18:02,
-16,36,18,17:18:02,
-23,36,10,17:18:02,
-29,41,0,17:18:02,
-19,39,-2,17:18:02,
-35,39,0,17:18:02,
-45,37,4,17:18:02,
-33,35,12,17:18:02,
-21,40,8,17:18:03,
-28,41,0,17:18:03,
-37,32,-8,17:18:03,
-27,27,-12,17:18:03,
-17,22,-15,17:18:03,
-7,25,-9,17:18:03,
7,19,2,17:18:03,
10,12,10,17:18:03,
20,9,8,17:18:03,
21,-6,4,17:18:03,
47,-21,5,17:18:03,
45,-11,25,17:18:03,
43,-20,16,17:18:03,
44,-9,-14,17:18:03,
40,-20,-8,17:18:04,
29,-14,-15,17:18:04,
49,-15,-15,17:18:04,
43,-15,-25,17:18:04,
39,-10,-17,17:18:04,
49,-13,-14,17:18:06,
40,-14,-20,17:18:07,
47,-8,-9,17:18:14,
50,-11,7,17:18:14,
36,-10,5,17:18:14,
42,-17,0,17:18:14,
33,-24,-7,17:18:14,
23,-28,-6,17:18:15,
19,-39,-1,17:18:15,
15,-48,2,17:18:15,
16,-58,4,17:18:15,
6,-57,3,17:18:15,
8,-40,2,17:18:15,
8,-50,-3,17:18:15,
5,-62,0,17:18:15,
-3,-56,-4,17:18:15,
7,-55,-6,17:18:15,
6,-72,-9,17:18:15,
-1,-58,-19,17:18:15,
-1,-46,-22,17:18:15,
-7,-52,-16,17:18:15,
-3,-43,-19,17:18:15,
-14,-47,-15,17:18:15,
-7,-54,-11,17:18:19,
0,-66,-7,17:18:19,
-1,-58,0,17:18:19,
0,-48,0,17:18:19,
5,-39,-1,17:18:19,
7,-49,1,17:18:20,
15,-47,20,17:18:20,
14,-54,31,17:18:20,
15,-64,41,17:18:20,
11,-65,30,17:18:20,
6,-56,21,17:18:20,
4,-47,16,17:18:20,
-8,-52,18,17:18:20,
8,-51,15,17:18:20,
10,-50,5,17:18:20,
5,-41,2,17:18:21,
1,-31,0,17:18:21,
3,-20,2,17:18:21,
6,-13,10,17:18:21,
11,-21,26,17:18:21,
20,-32,38,17:18:21,
16,-45,36,17:18:21,
5,-56,23,17:18:21,
2,-71,20,17:18:21,
13,-74,22,17:18:21,
29,-64,21,17:18:21,
36,-57,19,17:18:21,
31,-63,28,17:18:21,
26,-58,14,17:18:22,
24,-58,40,17:18:22,
26,-60,23,17:18:22,
38,-51,30,17:18:22,
11,-56,22,17:18:22,
12,-47,29,17:18:22,
6,-40,21,17:18:22,
2,-29,14,17:18:22,
8,-24,-2,17:18:22,
39,-54,38,17:18:22,
-12,-22,20,17:18:22,
-11,-17,32,17:18:22,
12,-42,36,17:18:22,
21,-61,33,17:18:22,
29,-58,22,17:18:22,
8,-49,25,17:18:22,
2,-37,30,17:18:22,
16,-35,29,17:18:22,
27,-28,34,17:18:22,
13,-35,35,17:18:22,
22,-31,33,17:18:23,
20,-22,37,17:18:23,
30,-21,35,17:18:23,
19,-20,38,17:18:23,
28,-15,38,17:18:23,
18,-13,42,17:18:24,
26,-18,38,17:18:24,
39,-26,40,17:18:25,
29,-31,41,17:18:25,
17,-42,35,17:18:25,
20,-52,27,17:18:25,
30,-61,27,17:18:25,
30,-72,36,17:18:25,
21,-70,41,17:18:25,
15,-62,29,17:18:25,
14,-50,13,17:18:25,
13,-38,12,17:18:25,
-5,-32,24,17:18:25,
0,-23,20,17:18:25,
-7,-11,22,17:18:25,
7,-11,25,17:18:25,
-2,-2,31,17:18:25,
9,-7,29,17:18:25,
16,-14,50,17:18:25,
28,-24,41,17:18:25,
49,-16,30,17:18:25,
35,-27,23,17:18:26,
24,-27,22,17:18:26,
38,-28,26,17:18:26,
28,-26,30,17:18:26,
32,-21,41,17:18:26,
19,-25,48,17:18:26,
4,-21,43,17:18:26,
8,-20,33,17:18:26,
14,-11,36,17:18:26,
5,-14,30,17:18:26,
2,-24,26,17:18:26,
11,-35,29,17:18:26,
14,-46,27,17:18:26,
15,-60,28,17:18:27,
16,-45,21,17:18:27,
30,-32,27,17:18:27,
25,-49,49,17:18:27,
33,-4,35,17:18:27,
24,3,27,17:18:27,
22,-16,50,17:18:27,
14,-13,42,17:18:27,
22,-19,40,17:18:27,
16,-26,36,17:18:30,
9,-35,41,17:18:30,
18,-42,43,17:18:30,
25,-48,48,17:18:30,
32,-74,30,17:18:30,
18,-76,14,17:18:30,
5,-72,0,17:18:30,
-6,-64,-11,17:18:30,
-11,-55,-11,17:18:30,
-19,-49,-3,17:18:30,
-3,-42,-4,17:18:30,
0,-31,0,17:18:30,
6,-38,7,17:18:30,
3,-49,15,17:18:30,
18,-37,22,17:18:30,
26,-29,20,17:18:30,
35,-29,39,17:18:31,
24,-33,39,17:18:31,
15,-33,44,17:18:31,
2,-33,34,17:18:31,
-8,-39,41,17:18:31,
-18,-43,49,17:18:31,
3,-42,37,17:18:31,
16,-61,22,17:18:31,
6,-65,6,17:18:31,
-7,-46,5,17:18:31,
2,-42,15,17:18:31,
13,-42,21,17:18:31,
1,-54,26,17:18:31,
-2,-67,36,17:18:31,
-12,-91,50,17:18:31,
-10,-109,49,17:18:31,
8,-111,28,17:18:31,
4,-103,20,17:18:31,
23,-97,6,17:18:31,
42,-96,10,17:18:31,
37,-88,26,17:18:31,
15,-86,11,17:18:31,
-1,-77,-4,17:18:31,
-17,-61,-7,17:18:31,
-12,-43,-16,17:18:31,
7,-24,-11,17:18:31,
35,-16,7,17:18:31,
46,-41,0,17:18:31,
37,-47,4,17:18:31,
32,-32,3,17:18:31,
25,-24,5,17:18:32,
23,-19,14,17:18:32,
12,-13,7,17:18:32,
23,-14,0,17:18:32,
21,-16,16,17:18:32,
25,-20,6,17:18:32,
38,-9,2,17:18:32,
49,-11,-13,17:18:32,
39,-9,-13,17:18:33,
49,-10,-11,17:18:33,
43,-15,-19,17:18:33,
40,-16,-8,17:18:33,
50,-16,-15,17:18:33,
41,-10,-19,17:18:33,
48,-2,-13,17:18:33,
38,-6,-8,17:18:33,
48,-13,-10,17:18:34,
49,-14,-20,17:18:34,
41,-13,-14,17:18:34,
35,-20,-18,17:18:49,
41,-17,-10,17:18:49,
32,-21,-7,17:18:49,
24,-31,-5,17:18:50,
20,-41,-6,17:18:50,
33,-46,-6,17:18:50,
21,-45,-2,17:18:50,
11,-47,-5,17:18:50,
12,-54,6,17:18:50,
4,-55,-12,17:18:50,
-5,-53,-16,17:18:50,
3,-59,-11,17:18:50,
-1,-53,-21,17:18:50,
-12,-52,-22,17:18:50,
-24,-58,-3,17:18:50,
-5,-62,7,17:18:50,
26,-53,10,17:18:50,
