angleX,angleY,angleZ,Time,
-1,-43,23,15:28:04,
0,-43,22,15:28:04,
0,-43,21,15:28:05,
0,-44,23,15:28:05,
0,-44,20,15:28:05,
1,-46,19,15:28:05,
0,-45,17,15:28:06,
2,-46,17,15:28:06,
4,-50,32,15:28:06,
0,-44,40,15:28:06,
0,-25,48,15:28:07,
3,-10,44,15:28:07,
-11,27,24,15:28:07,
-15,34,17,15:28:07,
-16,40,29,15:28:08,
-12,37,38,15:28:08,
-14,37,27,15:28:08,
-15,40,27,15:28:08,
-20,36,16,15:28:09,
-19,41,15,15:28:09,
-19,41,15,15:28:09,
-22,41,14,15:28:09,
-22,41,15,15:28:10,
-22,39,13,15:28:10,
-28,40,9,15:28:10,
7,7,40,15:28:10,
16,-8,47,15:28:11,
31,-20,32,15:28:11,
35,-17,31,15:28:11,
33,-17,31,15:28:12,
31,-18,21,15:28:12,
35,-26,35,15:28:12,
35,-20,27,15:28:12,
38,-14,26,15:28:13,
38,-18,27,15:28:13,
35,-17,25,15:28:13,
38,-19,26,15:28:13,
37,-19,25,15:28:14,
37,-16,25,15:28:14,
37,-18,24,15:28:14,
36,-20,24,15:28:14,
38,-18,24,15:28:15,
38,-18,23,15:28:15,
39,-18,23,15:28:15,
38,-16,23,15:28:15,
38,-18,24,15:28:16,
38,-17,24,15:28:16,
38,-17,24,15:28:16,
37,-19,24,15:28:16,
38,-17,24,15:28:17,
38,-16,24,15:28:17,
38,-18,24,15:28:17,
39,-17,23,15:28:17,
38,-16,23,15:28:18,
40,-19,23,15:28:18,
38,-18,23,15:28:18,
39,-18,23,15:28:18,
38,-18,23,15:28:19,
38,-18,23,15:28:19,
38,-18,23,15:28:19,
38,-18,23,15:28:19,
38,-18,23,15:28:20,
38,-18,23,15:28:20,
38,-17,23,15:28:20,
38,-18,23,15:28:20,
37,-19,22,15:28:21,
39,-17,23,15:28:21,
40,-18,24,15:28:21,
39,-18,23,15:28:21,
39,-17,23,15:28:22,
38,-17,23,15:28:22,
39,-17,23,15:28:22,
38,-18,22,15:28:22,
38,-18,23,15:28:23,
38,-17,23,15:28:23,
38,-17,22,15:28:23,
37,-17,22,15:28:23,
39,-17,25,15:28:24,
37,-18,24,15:28:24,
37,-18,21,15:28:24,
39,-18,24,15:28:24,
38,-18,23,15:28:25,
38,-18,23,15:28:25,
39,-18,24,15:28:25,
