angleX,angleY,angleZ,Time,
5,-38,29,15:32:11,
9,-40,25,15:32:12,
8,-41,25,15:32:12,
11,-42,21,15:32:12,
14,-42,19,15:32:12,
11,-43,19,15:32:13,
10,-43,19,15:32:13,
10,-45,16,15:32:13,
9,-44,16,15:32:13,
9,-43,20,15:32:14,
11,-44,24,15:32:14,
12,-38,38,15:32:14,
17,-29,44,15:32:14,
-1,22,23,15:32:15,
-15,38,8,15:32:15,
-24,36,4,15:32:16,
-26,39,0,15:32:16,
-26,42,-1,15:32:16,
-23,41,0,15:32:16,
-21,29,-4,15:32:17,
18,0,36,15:32:17,
38,-11,35,15:32:17,
35,-24,29,15:32:18,
32,-19,32,15:32:18,
29,-20,31,15:32:18,
30,-17,31,15:32:18,
32,-17,31,15:32:19,
32,-22,31,15:32:19,
30,-20,28,15:32:19,
36,-19,28,15:32:19,
35,-20,26,15:32:20,
34,-21,25,15:32:20,
37,-33,25,15:32:20,
38,-23,24,15:32:20,
34,-22,24,15:32:21,
35,-21,25,15:32:21,
35,-21,25,15:32:21,
35,-23,24,15:32:21,
35,-22,24,15:32:22,
35,-22,25,15:32:22,
34,-23,25,15:32:22,
34,-22,25,15:32:22,
35,-22,25,15:32:23,
34,-22,25,15:32:23,
34,-22,25,15:32:23,
34,-22,25,15:32:23,
35,-22,25,15:32:24,
35,-23,25,15:32:24,
34,-22,25,15:32:24,
34,-23,25,15:32:24,
34,-23,25,15:32:25,
34,-23,25,15:32:25,
34,-23,25,15:32:25,
35,-23,25,15:32:25,
35,-22,25,15:32:26,
34,-22,25,15:32:26,
33,-24,23,15:32:26,
35,-23,25,15:32:26,
34,-23,24,15:32:27,
34,-23,25,15:32:27,
35,-22,25,15:32:27,
35,-22,25,15:32:27,
34,-22,25,15:32:28,
33,-23,25,15:32:28,
33,-24,26,15:32:28,
34,-23,26,15:32:28,
34,-22,25,15:32:29,
34,-22,26,15:32:29,
34,-23,25,15:32:29,
35,-24,24,15:32:29,
33,-23,26,15:32:30,
33,-22,26,15:32:30,
33,-23,26,15:32:30,
34,-23,24,15:32:30,
33,-22,25,15:32:31,
35,-22,25,15:32:31,
34,-22,26,15:32:31,
34,-22,26,15:32:31,
33,-23,25,15:32:32,
31,-23,24,15:32:32,
29,-27,23,15:32:32,
24,-34,17,15:32:32,
21,-40,15,15:32:33,
11,-48,3,15:32:33,
7,-48,-3,15:32:33,
-4,-45,-14,15:32:34,
8,-49,-12,15:32:34,
4,-50,-11,15:32:34,
8,-46,-8,15:32:35,
7,-50,-9,15:32:35,
11,-47,-6,15:32:35,
9,-48,-8,15:32:36,
8,-48,-6,15:32:36,
8,-47,-6,15:32:36,
8,-47,-7,15:32:36,
8,-48,-6,15:32:37,
8,-47,-6,15:32:37,
9,-48,-6,15:32:37,
9,-47,-6,15:32:37,
10,-48,-7,15:32:38,
11,-47,-6,15:32:38,
11,-47,-6,15:32:38,
7,-50,-1,15:32:39,
7,-43,7,15:32:39,
9,-43,10,15:32:39,
12,-48,20,15:32:40,
7,-49,19,15:32:40,
7,-34,15,15:32:40,
7,-39,19,15:32:40,
5,-47,17,15:32:41,
5,-45,16,15:32:41,
7,-46,14,15:32:41,
2,-48,12,15:32:41,
13,-43,14,15:32:42,
11,-37,29,15:32:42,
22,-39,21,15:32:42,
27,-8,46,15:32:42,
11,-8,29,15:32:43,
8,-13,36,15:32:43,
9,-33,30,15:32:43,
10,-23,43,15:32:44,
11,-18,44,15:32:44,
10,-19,43,15:32:44,
12,-19,43,15:32:44,
11,-19,43,15:32:45,
11,-19,43,15:32:45,
11,-19,43,15:32:45,
11,-19,43,15:32:45,
11,-19,43,15:32:46,
11,-20,43,15:32:46,
11,-20,42,15:32:46,
11,-23,45,15:32:46,
7,-39,46,15:32:47,
9,-20,37,15:32:47,
12,-5,31,15:32:47,
16,-14,45,15:32:47,
21,-14,42,15:32:48,
19,-1,48,15:32:48,
20,-8,41,15:32:48,
10,-45,41,15:32:48,
9,-23,40,15:32:49,
9,-23,40,15:32:49,
14,-32,33,15:32:49,
12,-35,30,15:32:49,
12,-35,30,15:32:50,
11,-35,31,15:32:50,
12,-35,31,15:32:50,
11,-35,31,15:32:50,
11,-35,31,15:32:51,
11,-35,31,15:32:51,
11,-35,31,15:32:51,
11,-35,31,15:32:51,
11,-35,31,15:32:52,
11,-30,35,15:32:52,
13,-25,39,15:32:52,
15,-24,41,15:32:52,
8,-40,36,15:32:53,
9,-39,18,15:32:53,
1,-44,5,15:32:53,
0,-41,9,15:32:53,
1,-46,0,15:32:54,
1,-46,20,15:32:54,
3,-48,31,15:32:54,
-2,-44,35,15:32:54,
1,-45,21,15:32:55,
5,-33,18,15:32:55,
26,-39,32,15:32:55,
19,-25,23,15:32:56,
31,-25,30,15:32:56,
48,-23,31,15:32:56,
35,-24,25,15:32:56,
35,-27,28,15:32:57,
30,-27,28,15:32:57,
32,-24,26,15:32:57,
32,-25,27,15:32:57,
32,-24,26,15:32:58,
33,-24,26,15:32:58,
32,-26,26,15:32:58,
33,-25,26,15:32:58,
32,-25,26,15:32:59,
30,-25,26,15:32:59,
32,-24,27,15:32:59,
32,-24,26,15:32:59,
32,-24,26,15:33:00,
33,-25,26,15:33:00,
32,-24,26,15:33:00,
32,-24,26,15:33:00,
32,-24,26,15:33:01,
32,-24,27,15:33:01,
31,-25,26,15:33:01,
32,-25,26,15:33:01,
32,-24,26,15:33:02,
32,-25,26,15:33:02,
32,-25,26,15:33:02,
32,-25,26,15:33:02,
32,-25,26,15:33:03,
32,-24,26,15:33:03,
32,-24,26,15:33:03,
31,-25,25,15:33:03,
33,-25,26,15:33:04,
32,-25,27,15:33:04,
32,-25,27,15:33:04,
32,-24,27,15:33:04,
32,-22,27,15:33:05,
29,-26,28,15:33:05,
30,-24,28,15:33:05,
31,-23,27,15:33:05,
31,-24,30,15:33:06,
31,-23,28,15:33:06,
31,-24,30,15:33:06,
29,-23,28,15:33:06,
32,-25,24,15:33:07,
32,-24,24,15:33:07,
34,-25,29,15:33:07,
32,-24,28,15:33:07,
32,-23,28,15:33:08,
31,-25,25,15:33:08,
32,-25,26,15:33:08,
31,-27,20,15:33:08,
24,-31,10,15:33:09,
25,-44,10,15:33:09,
16,-50,-4,15:33:09,
6,-47,-7,15:33:09,
2,-49,-6,15:33:10,
5,-50,-8,15:33:10,
2,-48,-11,15:33:10,
-4,-45,-11,15:33:10,
0,-48,-17,15:33:11,
3,-48,-10,15:33:11,
4,-48,-9,15:33:11,
6,-48,-7,15:33:12,
5,-48,-7,15:33:12,
5,-48,-6,15:33:12,
7,-48,-7,15:33:12,
5,-50,-5,15:33:13,
0,-49,-10,15:33:13,
0,-48,-10,15:33:13,
2,-46,-2,15:33:13,
4,-42,10,15:33:14,
11,-46,17,15:33:14,
8,-44,15,15:33:15,
8,-46,16,15:33:15,
7,-45,16,15:33:15,
6,-46,14,15:33:15,
4,-48,10,15:33:16,
3,-47,9,15:33:16,
8,-44,3,15:33:16,
7,-40,22,15:33:16,
15,-36,20,15:33:17,
27,-36,21,15:33:17,
19,-7,23,15:33:17,
22,-28,37,15:33:17,
11,-33,30,15:33:18,
13,-32,37,15:33:18,
11,-34,32,15:33:18,
10,-35,31,15:33:19,
11,-37,29,15:33:19,
10,-37,29,15:33:19,
11,-36,30,15:33:19,
11,-36,30,15:33:20,
10,-37,29,15:33:20,
10,-37,30,15:33:20,
10,-36,30,15:33:20,
11,-34,33,15:33:21,
10,-34,32,15:33:21,
