angleX,angleY,angleZ,Time,
9,-48,5,22:29:35,
33,-43,21,22:29:35,
6,27,11,22:29:36,
-24,33,13,22:29:36,
50,-15,22,22:29:37,
37,-16,-13,22:29:37,
29,-21,-18,22:29:38,
37,-20,-20,22:29:38,
37,-21,-21,22:29:39,
37,-20,-25,22:29:39,
37,-20,-23,22:29:40,
37,-20,-23,22:29:40,
37,-21,-24,22:29:41,
36,-20,-24,22:29:41,
36,-20,-24,22:29:42,
37,-20,-23,22:29:42,
37,-20,-24,22:29:43,
38,-20,-23,22:29:43,
35,-20,-24,22:29:44,
36,-19,-23,22:29:44,
37,-21,-23,22:29:45,
37,-20,-24,22:29:45,
36,-21,-23,22:29:46,
37,-22,-22,22:29:46,
38,-20,-22,22:29:47,
38,-19,-22,22:29:47,
38,-20,-22,22:29:48,
37,-19,-21,22:29:48,
38,-19,-23,22:29:49,
38,-19,-22,22:29:49,
38,-19,-22,22:29:50,
38,-20,-22,22:29:50,
38,-20,-22,22:29:51,
38,-20,-21,22:29:51,
38,-21,-22,22:29:52,
38,-20,-21,22:29:52,
35,-14,-25,22:29:53,
4,-56,-16,22:29:53,
-15,-42,-12,22:29:54,
-21,-43,-9,22:29:54,
-27,-41,-9,22:29:55,
-21,-42,-10,22:29:55,
-19,-44,-10,22:29:56,
-19,-44,-9,22:29:56,
-18,-44,-10,22:29:57,
-20,-43,-11,22:29:57,
-22,-47,-5,22:29:58,
1,-42,-1,22:29:58,
8,-48,5,22:29:59,
6,-48,5,22:29:59,
5,-46,6,22:30:00,
6,-48,4,22:30:00,
0,-31,-3,22:30:01,
7,-42,7,22:30:01,
44,-42,41,22:30:02,
6,-44,16,22:30:02,
19,-39,20,22:30:03,
27,-32,23,22:30:03,
28,-33,22,22:30:04,
28,-28,27,22:30:04,
29,-24,31,22:30:05,
20,-31,31,22:30:05,
28,-17,39,22:30:06,
25,-22,34,22:30:06,
25,-24,34,22:30:07,
24,-23,35,22:30:07,
24,-23,33,22:30:08,
37,-58,27,22:30:08,
22,-33,27,22:30:09,
23,-37,21,22:30:09,
22,-38,21,22:30:10,
22,-38,20,22:30:10,
23,-37,20,22:30:11,
23,-38,19,22:30:11,
23,-37,20,22:30:12,
23,-36,22,22:30:12,
26,-36,23,22:30:13,
21,-37,24,22:30:13,
-5,-42,5,22:30:14,
29,-29,12,22:30:15,
0,-68,4,22:30:15,
16,-11,7,22:30:16,
40,-23,-21,22:30:17,
39,-20,-21,22:30:17,
38,-21,-20,22:30:18,
39,-20,-20,22:30:18,
39,-21,-20,22:30:19,
38,-20,-22,22:30:19,
39,-22,-18,22:30:20,
39,-20,-19,22:30:20,
39,-21,-21,22:30:21,
39,-20,-20,22:30:21,
39,-21,-20,22:30:22,
38,-21,-20,22:30:22,
38,-20,-20,22:30:23,
39,-21,-20,22:30:23,
37,-21,-20,22:30:24,
45,-23,-21,22:30:24,
42,-22,-20,22:30:25,
37,-20,-21,22:30:25,
35,-20,-22,22:30:26,
38,-21,-21,22:30:26,
34,-25,-19,22:30:27,
36,-26,-20,22:30:27,
34,-19,-26,22:30:28,
35,-21,-25,22:30:28,
37,-22,-24,22:30:29,
35,-22,-23,22:30:29,
38,-20,-22,22:30:30,
39,-20,-24,22:30:30,
35,-24,-20,22:30:31,
38,-20,-23,22:30:31,
35,-23,-21,22:30:32,
35,-23,-23,22:30:32,
37,-24,-20,22:30:33,
38,-24,-21,22:30:33,
38,-24,-21,22:30:34,
37,-23,-21,22:30:34,
37,-24,-21,22:30:35,
37,-22,-21,22:30:35,
35,-21,-15,22:30:36,
15,-48,-6,22:30:36,
-15,-40,-16,22:30:37,
-20,-44,-14,22:30:37,
-20,-42,-13,22:30:38,
-18,-43,-13,22:30:38,
-18,-43,-13,22:30:39,
-17,-44,-13,22:30:39,
-16,-44,-13,22:30:40,
-16,-44,-13,22:30:40,
-16,-44,-13,22:30:41,
-15,-44,-12,22:30:41,
-15,-44,-12,22:30:42,
-15,-44,-12,22:30:42,
-17,-45,-13,22:30:43,
-8,-51,-11,22:30:43,
3,-43,-1,22:30:44,
0,-51,10,22:30:44,
6,-47,3,22:30:45,
8,-48,5,22:30:45,
5,-48,4,22:30:46,
4,-47,1,22:30:46,
-3,-24,2,22:30:47,
5,-57,8,22:30:47,
9,-46,14,22:30:48,
10,-44,13,22:30:48,
26,-36,20,22:30:49,
23,-38,20,22:30:49,
22,-38,20,22:30:50,
22,-39,19,22:30:50,
21,-40,17,22:30:51,
22,-39,17,22:30:51,
25,-36,19,22:30:52,
27,-33,27,22:30:52,
-30,-29,29,22:30:53,
17,-27,37,22:30:53,
12,-28,35,22:30:54,
16,-26,37,22:30:54,
5,-33,23,22:30:55,
23,-27,31,22:30:55,
27,-28,28,22:30:56,
29,-29,24,22:30:56,
30,-30,23,22:30:57,
31,-29,23,22:30:57,
30,-29,24,22:30:58,
30,-30,24,22:30:58,
30,-29,24,22:30:59,
31,-25,27,22:30:59,
27,-29,27,22:31:00,
7,-29,24,22:31:00,
25,-26,38,22:31:01,
19,-29,33,22:31:01,
21,-29,32,22:31:02,
19,-30,31,22:31:02,
24,-29,32,22:31:03,
21,-29,32,22:31:03,
22,-29,31,22:31:04,
24,-28,32,22:31:04,
22,-29,32,22:31:05,
23,-29,32,22:31:05,
23,-29,32,22:31:06,
23,-29,31,22:31:06,
24,-29,31,22:31:07,
24,-28,31,22:31:07,
24,-28,31,22:31:08,
24,-28,31,22:31:08,
24,-28,31,22:31:09,
24,-28,31,22:31:09,
24,-27,31,22:31:10,
23,-28,31,22:31:10,
22,-28,31,22:31:11,
23,-28,32,22:31:12,
21,-28,32,22:31:12,
24,-29,31,22:31:13,
22,-29,31,22:31:13,
23,-29,32,22:31:14,
22,-28,32,22:31:14,
24,-28,32,22:31:15,
24,-28,31,22:31:15,
24,-27,32,22:31:16,
25,-27,31,22:31:16,
24,-27,31,22:31:17,
33,-20,29,22:31:17,
19,-33,29,22:31:18,
4,-39,-3,22:31:18,
9,-51,5,22:31:19,
12,-22,0,22:31:20,
43,-20,-5,22:31:20,
43,-23,-15,22:31:21,
41,-22,-17,22:31:21,
43,-18,-16,22:31:22,
42,-19,-16,22:31:22,
38,-18,-10,22:31:23,
39,-15,-21,22:31:24,
41,-16,-24,22:31:24,
40,-16,-23,22:31:25,
40,-15,-22,22:31:25,
41,-15,-21,22:31:26,
46,-17,-24,22:31:26,
42,-15,-20,22:31:27,
42,-15,-19,22:31:27,
42,-15,-18,22:31:28,
29,-20,-2,22:31:28,
3,-46,-7,22:31:29,
-23,-45,-9,22:31:29,
-18,-43,-14,22:31:30,
-8,-43,-21,22:31:30,
-13,-44,-13,22:31:31,
-13,-44,-14,22:31:31,
-15,-44,-14,22:31:32,
-17,-44,-13,22:31:32,
-14,-44,-14,22:31:33,
-15,-44,-11,22:31:33,
-17,-45,-12,22:31:34,
4,-39,0,22:31:34,
19,-49,18,22:31:35,
5,-46,3,22:31:35,
7,-48,9,22:31:36,
4,-50,4,22:31:36,
3,-29,-3,22:31:37,
0,-69,17,22:31:37,
9,-35,31,22:31:38,
20,-41,20,22:31:38,
25,-33,25,22:31:39,
28,-32,23,22:31:39,
28,-34,20,22:31:40,
27,-35,19,22:31:40,
28,-33,21,22:31:41,
28,-28,27,22:31:41,
-10,-37,18,22:31:42,
22,-33,29,22:31:42,
23,-28,32,22:31:43,
10,-23,12,22:31:43,
25,-32,37,22:31:44,
25,-35,23,22:31:44,
22,-37,23,22:31:45,
21,-37,23,22:31:45,
22,-37,22,22:31:46,
22,-37,22,22:31:46,
22,-37,22,22:31:47,
27,-31,26,22:31:47,
20,-37,25,22:31:48,
16,-35,17,22:31:48,
8,-23,25,22:31:49,
13,-65,7,22:31:49,
14,-11,0,22:31:50,
48,-17,-19,22:31:50,
42,-22,-19,22:31:51,
47,-19,-19,22:31:51,
40,-16,-19,22:31:52,
41,-16,-18,22:31:52,
41,-16,-18,22:31:53,
42,-18,-18,22:31:53,
40,-19,-21,22:31:54,
41,-19,-21,22:31:54,
39,-18,-22,22:31:55,
39,-18,-22,22:31:55,
39,-19,-21,22:31:56,
39,-19,-21,22:31:56,
39,-19,-22,22:31:57,
39,-19,-22,22:31:57,
39,-19,-22,22:31:58,
39,-19,-21,22:31:58,
39,-19,-21,22:31:59,
39,-19,-21,22:31:59,
35,-16,-17,22:32:00,
-1,-51,-12,22:32:00,
-24,-68,-14,22:32:01,
-17,-44,-13,22:32:01,
-16,-44,-13,22:32:02,
-15,-44,-12,22:32:02,
-14,-45,-12,22:32:03,
-12,-45,-13,22:32:03,
-13,-46,-13,22:32:04,
-12,-61,-7,22:32:04,
4,-36,0,22:32:05,
0,-56,15,22:32:05,
8,-47,4,22:32:06,
9,-49,5,22:32:06,
0,-46,0,22:32:07,
-6,-55,24,22:32:07,
17,-68,-7,22:32:08,
8,-43,12,22:32:08,
24,-37,19,22:32:09,
29,-30,24,22:32:09,
26,-33,24,22:32:10,
29,-32,22,22:32:10,
29,-32,22,22:32:11,
29,-32,20,22:32:11,
26,-31,26,22:32:12,
7,-18,19,22:32:12,
16,-27,36,22:32:13,
13,-27,38,22:32:13,
-2,-34,25,22:32:14,
22,-30,32,22:32:14,
22,-32,28,22:32:15,
23,-32,28,22:32:15,
24,-31,28,22:32:16,
23,-31,28,22:32:16,
24,-30,29,22:32:17,
23,-30,29,22:32:17,
24,-46,10,22:32:18,
9,-23,38,22:32:18,
18,-26,36,22:32:19,
19,-27,34,22:32:19,
20,-26,34,22:32:20,
22,-28,33,22:32:20,
24,-27,33,22:32:21,
24,-27,33,22:32:21,
