angleX,angleY,angleZ,Time,
-10,49,6,16:11:04,
-17,54,16,16:11:04,
-31,54,19,16:11:04,
-29,44,15,16:11:04,
-16,41,10,16:11:04,
-20,50,15,16:11:04,
-28,41,12,16:11:04,
-27,36,21,16:11:04,
-18,35,27,16:11:04,
-27,43,32,16:11:04,
-19,49,33,16:11:05,
-15,38,29,16:11:05,
-17,28,34,16:11:05,
-3,24,37,16:11:05,
5,26,29,16:11:05,
-5,30,22,16:11:05,
-13,37,19,16:11:05,
-19,46,18,16:11:05,
-13,51,2,16:11:05,
-1,86,-4,16:11:05,
-1,151,-33,16:11:05,
-67,68,45,16:11:05,
-6,-7,30,16:11:05,
30,29,0,16:11:05,
-10,46,6,16:11:05,
-60,31,14,16:11:05,
-67,41,16,16:11:05,
-43,53,11,16:11:05,
-32,41,7,16:11:05,
-23,34,6,16:11:05,
-13,40,10,16:11:05,
-35,37,16,16:11:05,
-55,32,18,16:11:05,
-35,36,19,16:11:05,
-10,41,12,16:11:06,
-18,31,10,16:11:06,
-30,37,17,16:11:06,
-36,28,14,16:11:06,
-21,35,12,16:11:06,
-32,34,15,16:11:06,
-41,26,12,16:11:06,
-30,34,18,16:11:06,
-41,28,12,16:11:06,
-30,34,13,16:11:06,
-39,27,14,16:11:06,
-29,33,12,16:11:06,
-36,25,8,16:11:06,
-31,34,10,16:11:06,
-39,27,8,16:11:08,
-30,32,5,16:11:08,
-36,31,13,16:11:09,
-44,25,14,16:11:09,
-32,30,13,16:11:09,
-37,29,22,16:11:09,
-26,31,18,16:11:09,
-30,52,17,16:11:09,
-41,64,25,16:11:09,
-29,54,15,16:11:09,
-20,49,8,16:11:09,
-18,39,17,16:11:10,
-21,29,24,16:11:10,
-22,20,34,16:11:10,
-28,11,48,16:11:10,
-29,11,38,16:11:10,
-22,18,32,16:11:10,
-29,16,39,16:11:10,
-42,23,36,16:11:10,
-30,17,29,16:11:10,
-24,29,28,16:11:10,
-33,18,30,16:11:11,
-21,21,32,16:11:11,
-16,22,22,16:11:11,
-14,32,16,16:11:11,
-18,46,18,16:11:11,
-24,56,18,16:11:11,
-28,47,24,16:11:11,
-34,37,33,16:11:11,
-24,32,29,16:11:11,
-35,30,23,16:11:12,
-23,33,24,16:11:12,
-34,29,24,16:11:12,
-31,39,22,16:11:15,
-37,51,26,16:11:15,
-33,42,22,16:11:15,
-25,43,11,16:11:15,
-22,34,15,16:11:15,
-26,28,22,16:11:15,
-23,19,29,16:11:15,
-23,15,39,16:11:15,
-26,15,51,16:11:16,
-33,17,42,16:11:16,
-24,21,32,16:11:16,
-26,33,33,16:11:16,
-16,30,31,16:11:17,
-25,28,37,16:11:21,
-15,28,36,16:11:21,
