angleX,angleY,angleZ,Time,
0,45,8,15:49:24,
-2,54,17,15:49:24,
-7,44,18,15:49:24,
-9,47,7,15:49:24,
-6,47,17,15:49:24,
-21,50,19,15:49:26,
-30,48,26,15:49:26,
-38,45,36,15:49:26,
-39,34,40,15:49:26,
-32,26,38,15:49:26,
-31,16,39,15:49:26,
-27,6,39,15:49:27,
-19,-3,37,15:49:27,
-14,-11,33,15:49:27,
-6,-21,28,15:49:27,
4,-29,22,15:49:27,
13,-35,23,15:49:27,
21,-34,13,15:49:27,
27,-42,15,15:49:27,
24,-32,11,15:49:27,
16,-38,16,15:49:28,
7,-33,21,15:49:28,
0,-27,28,15:49:28,
-10,-22,28,15:49:28,
-15,-16,35,15:49:28,
-24,-5,36,15:49:28,
-39,-2,33,15:49:28,
-48,13,32,15:49:28,
-52,26,33,15:49:28,
-47,34,37,15:49:28,
-35,37,36,15:49:28,
-26,35,31,15:49:28,
-16,28,24,15:49:28,
-10,17,23,15:49:28,
-28,20,24,15:49:28,
-33,14,32,15:49:28,
-41,16,22,15:49:28,
-56,18,22,15:49:29,
-46,30,20,15:49:29,
-39,20,21,15:49:29,
-36,14,13,15:49:31,
-43,17,20,15:49:31,
-45,13,11,15:49:38,
-36,19,14,15:49:44,
-41,15,24,15:49:44,
-40,13,14,15:49:45,
-42,19,22,15:49:45,
-39,11,15,15:49:45,
-40,12,27,15:49:47,
-32,17,19,15:49:50,
-29,28,17,15:49:50,
-30,37,23,15:49:50,
-19,40,19,15:49:51,
-11,41,13,15:49:51,
-12,47,5,15:49:51,
-15,57,0,15:49:51,
-10,48,-3,15:49:51,
-5,49,-13,15:49:52,
-10,53,-2,15:49:55,
-6,48,7,15:49:55,
-8,41,14,15:49:56,
-10,31,19,15:49:56,
-11,41,26,15:49:56,
-8,47,18,15:49:57,
-7,37,16,15:49:58,
-5,25,18,15:49:58,
-16,26,23,15:49:58,
-15,38,26,15:49:59,
-14,32,34,15:49:59,
-22,34,44,15:49:59,
-15,29,51,15:49:59,
-16,19,50,15:49:59,
-5,20,51,15:49:59,
-16,19,54,15:49:59,
-3,14,50,15:49:59,
-2,3,49,15:49:59,
-4,14,52,15:49:59,
-9,20,60,15:49:59,
-6,9,60,15:50:00,
-12,23,50,15:50:00,
-19,23,41,15:50:00,
-18,29,32,15:50:00,
-12,22,36,15:50:00,
-5,9,29,15:50:00,
8,15,29,15:50:00,
1,14,40,15:50:00,
0,23,35,15:50:00,
9,15,32,15:50:00,
7,4,35,15:50:00,
-4,19,41,15:50:00,
-3,38,27,15:50:00,
2,33,16,15:50:00,
-9,11,24,15:50:00,
-21,6,34,15:50:00,
-19,16,32,15:50:00,
-9,18,24,15:50:00,
-15,25,29,15:50:00,
-2,23,32,15:50:00,
8,17,41,15:50:00,
-3,22,46,15:50:00,
-16,41,43,15:50:00,
-11,50,47,15:50:00,
0,41,47,15:50:00,
4,33,34,15:50:00,
-11,43,54,15:50:00,
-23,51,62,15:50:00,
-18,53,45,15:50:00,
-5,48,32,15:50:00,
-1,42,42,15:50:00,
1,36,34,15:50:00,
-5,46,37,15:50:00,
-8,35,46,15:50:01,
-24,40,45,15:50:01,
-23,44,34,15:50:01,
-5,36,34,15:50:01,
0,27,40,15:50:01,
-6,32,32,15:50:01,
-12,34,43,15:50:01,
-10,31,33,15:50:01,
-21,32,35,15:50:01,
-9,32,30,15:50:01,
-14,32,41,15:50:01,
-25,26,43,15:50:01,
-13,30,32,15:50:01,
-22,27,37,15:50:01,
-11,29,34,15:50:01,
-17,25,43,15:50:01,
-10,32,36,15:50:01,
-20,29,39,15:50:02,
-16,31,30,15:50:02,
-22,25,36,15:50:04,
-20,32,29,15:50:04,
-13,28,35,15:50:04,
-23,29,40,15:50:04,
-17,35,31,15:50:05,
-21,49,30,15:50:05,
-10,63,20,15:50:05,
-4,72,17,15:50:05,
-13,66,17,15:50:05,
-16,52,27,15:50:05,
-7,44,23,15:50:05,
2,35,17,15:50:05,
-7,30,28,15:50:05,
-12,36,20,15:50:05,
-18,36,32,15:50:05,
-18,33,49,15:50:05,
-22,30,37,15:50:05,
-26,31,26,15:50:05,
-15,31,23,15:50:06,
-22,26,31,15:50:06,
-11,31,33,15:50:06,
-22,29,33,15:50:06,
-12,25,31,15:50:07,
-20,29,37,15:50:07,
-11,24,32,15:50:07,
-12,33,27,15:50:07,
-7,39,20,15:50:07,
-3,48,18,15:50:07,
-10,58,10,15:50:07,
-19,61,26,15:50:07,
-26,49,32,15:50:07,
-23,39,33,15:50:07,
-9,34,30,15:50:07,
0,32,16,15:50:07,
-5,54,6,15:50:08,
-26,66,35,15:50:08,
-36,36,36,15:50:08,
-20,24,32,15:50:08,
-6,39,23,15:50:08,
-21,36,33,15:50:08,
-13,38,23,15:50:08,
-19,35,34,15:50:08,
-15,37,20,15:50:08,
-14,35,33,15:50:08,
-20,37,19,15:50:08,
-8,36,18,15:50:08,
-15,35,27,15:50:08,
-27,34,42,15:50:08,
-29,35,27,15:50:08,
-11,38,7,15:50:08,
-2,37,19,15:50:08,
-17,32,42,15:50:08,
-34,32,42,15:50:08,
-29,37,26,15:50:08,
-14,37,17,15:50:08,
-18,33,35,15:50:08,
-28,35,34,15:50:08,
-21,37,24,15:50:08,
-10,36,19,15:50:08,
-22,34,30,15:50:08,
-20,37,20,15:50:08,
-26,37,32,15:50:08,
-15,35,21,15:50:08,
-25,37,28,15:50:08,
-15,35,21,15:50:08,
-23,34,27,15:50:11,
-16,35,16,15:50:11,
-16,34,30,15:50:11,
-28,38,30,15:50:11,
-26,39,20,15:50:11,
-15,34,16,15:50:11,
-20,37,30,15:50:11,
-20,37,19,15:50:11,
-13,37,27,15:50:11,
-26,41,30,15:50:11,
-16,40,31,15:50:11,
-25,49,30,15:50:11,
-23,54,16,15:50:11,
-17,65,16,15:50:11,
-8,74,26,15:50:11,
-6,62,24,15:50:12,
-12,41,17,15:50:12,
-5,54,8,15:50:12,
0,45,15,15:50:12,
-9,36,20,15:50:12,
-17,34,28,15:50:12,
-6,38,21,15:50:12,
-15,39,28,15:50:12,
-12,31,35,15:50:12,
-12,20,37,15:50:12,
-9,10,44,15:50:12,
-16,13,51,15:50:12,
-20,28,54,15:50:12,
-9,34,49,15:50:12,
-5,22,45,15:50:12,
0,17,36,15:50:13,
-10,7,41,15:50:13,
-8,5,31,15:50:13,
-5,13,23,15:50:13,
-14,15,32,15:50:13,
-11,31,29,15:50:13,
-12,46,27,15:50:13,
-15,51,38,15:50:13,
-7,56,33,15:50:13,
-9,46,34,15:50:13,
-2,37,30,15:50:13,
-12,42,34,15:50:13,
-15,47,25,15:50:13,
-10,35,17,15:50:14,
-16,28,21,15:50:14,
-8,22,14,15:50:14,
-15,19,23,15:50:14,
-11,27,18,15:50:14,
-20,29,25,15:50:14,
-13,37,26,15:50:14,
-20,31,31,15:50:14,
-30,28,30,15:50:15,
-22,24,36,15:50:15,
-25,15,32,15:50:15,
-34,10,33,15:50:16,
-29,6,24,15:50:16,
-37,7,30,15:50:17,
-35,17,30,15:50:17,
-26,11,29,15:50:17,
-35,16,34,15:50:17,
-40,14,25,15:50:18,
-33,14,33,15:50:26,
-37,4,30,15:50:31,
-34,19,29,15:50:31,
-28,25,22,15:50:31,
-25,15,26,15:50:31,
-32,10,34,15:50:31,
-39,3,36,15:50:31,
-39,10,26,15:50:31,
-34,19,19,15:50:31,
-26,20,26,15:50:31,
-21,28,15,15:50:32,
-25,35,8,15:50:32,
-24,50,4,15:50:32,
-11,46,-3,15:50:32,
-19,52,0,15:50:32,
-9,51,-10,15:50:32,
-3,42,-15,15:50:32,
0,42,-25,15:50:33,
-2,49,-18,15:50:35,
-4,55,-9,15:50:35,
-5,50,0,15:50:35,
-3,42,6,15:50:35,
-12,40,16,15:50:35,
